comunidad;anio;banda_ancha_pct;renta_media;arope_pct;paro_pct;ordenadores_unidad
Andalucía;2021;945;137525;355;2186;57
Aragón;2021;963;187510;179;1034;61
Asturias;2021;943;173845;2335;1235;81
Baleares;2021;973;163160;200;1433;772
Canarias;2021;967;145285;331;2348;79
Cantabria;2021;950;175115;184;1127;772
Castilla y León;2021;956;174345;205;1567;51
Castilla-La Mancha;2021;944;77945;2995;1162;56
Cataluña;2021;969;198775;1855;117;102
Comunidad Valenciana;2021;968;158735;2785;161;52
Extremadura;2021;946;130020;355;2016;86
Galicia;2021;932;160970;227;1156;96
La Rioja;2021;949;102500;187;1162;77
Madrid;2021;975;107025;184;1169;54
Murcia;2021;969;144910;3075;1472;772
Navarra;2021;962;218705;1225;1071;98
País Vasco;2021;955;218860;141;1029;131
